reviewer_id,domain_relevance,feasibility_score,scalability_score,ethics_score,trust_score
R1,0.16666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.15
R10,0.3333333333333333,0.3333333333333333,1.0,0.0,0.15
R2,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3
R3,0.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.0
R4,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.06
R5,0.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.0
R6,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.19
R7,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0
R8,0.0,0.6666666666666666,1.0,0.3333333333333333,0.0
R9,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33
